0001 function mpc = case118
0002 %CASE118    Power flow data for IEEE 118 bus test case.
0003 %   Please see CASEFORMAT for details on the case file format.
0004 %   This data was converted from IEEE Common Data Format
0005 %   (ieee118cdf.txt) on 15-Oct-2014 by cdf2matp, rev. 2393
0006 %   See end of file for warnings generated during conversion.
0007 %
0008 %   Converted from IEEE CDF file from:
0009 %       http://www.ee.washington.edu/research/pstca/
0010 %   With baseKV data take from the PSAP format file from the same site,
0011 %   added manually on 10-Mar-2006.
0012 %
0013 %   08/25/93 UW ARCHIVE           100.0  1961 W IEEE 118 Bus Test Case
0014 
0015 %   MATPOWER
0016 %   $Id: case118.m 2394 2014-10-15 20:39:39Z ray $
0017 
0018 %% MATPOWER Case Format : Version 2
0019 mpc.version = '2';
0020 
0021 %%-----  Power Flow Data  -----%%
0022 %% system MVA base
0023 mpc.baseMVA = 100;
0024 
0025 %% bus data
0026 %    bus_i    type    Pd    Qd    Gs    Bs    area    Vm    Va    baseKV    zone    Vmax    Vmin
0027 mpc.bus = [
0028     1    2    51    27    0    0    1    0.955    10.67    138    1    1.06    0.94;
0029     2    1    20    9    0    0    1    0.971    11.22    138    1    1.06    0.94;
0030     3    1    39    10    0    0    1    0.968    11.56    138    1    1.06    0.94;
0031     4    2    39    12    0    0    1    0.998    15.28    138    1    1.06    0.94;
0032     5    1    0    0    0    -40    1    1.002    15.73    138    1    1.06    0.94;
0033     6    2    52    22    0    0    1    0.99    13    138    1    1.06    0.94;
0034     7    1    19    2    0    0    1    0.989    12.56    138    1    1.06    0.94;
0035     8    2    28    0    0    0    1    1.015    20.77    345    1    1.06    0.94;
0036     9    1    0    0    0    0    1    1.043    28.02    345    1    1.06    0.94;
0037     10    2    0    0    0    0    1    1.05    35.61    345    1    1.06    0.94;
0038     11    1    70    23    0    0    1    0.985    12.72    138    1    1.06    0.94;
0039     12    2    47    10    0    0    1    0.99    12.2    138    1    1.06    0.94;
0040     13    1    34    16    0    0    1    0.968    11.35    138    1    1.06    0.94;
0041     14    1    14    1    0    0    1    0.984    11.5    138    1    1.06    0.94;
0042     15    2    90    30    0    0    1    0.97    11.23    138    1    1.06    0.94;
0043     16    1    25    10    0    0    1    0.984    11.91    138    1    1.06    0.94;
0044     17    1    11    3    0    0    1    0.995    13.74    138    1    1.06    0.94;
0045     18    2    60    34    0    0    1    0.973    11.53    138    1    1.06    0.94;
0046     19    2    45    25    0    0    1    0.963    11.05    138    1    1.06    0.94;
0047     20    1    18    3    0    0    1    0.958    11.93    138    1    1.06    0.94;
0048     21    1    14    8    0    0    1    0.959    13.52    138    1    1.06    0.94;
0049     22    1    10    5    0    0    1    0.97    16.08    138    1    1.06    0.94;
0050     23    1    7    3    0    0    1    1    21    138    1    1.06    0.94;
0051     24    2    13    0    0    0    1    0.992    20.89    138    1    1.06    0.94;
0052     25    2    0    0    0    0    1    1.05    27.93    138    1    1.06    0.94;
0053     26    2    0    0    0    0    1    1.015    29.71    345    1    1.06    0.94;
0054     27    2    71    13    0    0    1    0.968    15.35    138    1    1.06    0.94;
0055     28    1    17    7    0    0    1    0.962    13.62    138    1    1.06    0.94;
0056     29    1    24    4    0    0    1    0.963    12.63    138    1    1.06    0.94;
0057     30    1    0    0    0    0    1    0.968    18.79    345    1    1.06    0.94;
0058     31    2    43    27    0    0    1    0.967    12.75    138    1    1.06    0.94;
0059     32    2    59    23    0    0    1    0.964    14.8    138    1    1.06    0.94;
0060     33    1    23    9    0    0    1    0.972    10.63    138    1    1.06    0.94;
0061     34    2    59    26    0    14    1    0.986    11.3    138    1    1.06    0.94;
0062     35    1    33    9    0    0    1    0.981    10.87    138    1    1.06    0.94;
0063     36    2    31    17    0    0    1    0.98    10.87    138    1    1.06    0.94;
0064     37    1    0    0    0    -25    1    0.992    11.77    138    1    1.06    0.94;
0065     38    1    0    0    0    0    1    0.962    16.91    345    1    1.06    0.94;
0066     39    1    27    11    0    0    1    0.97    8.41    138    1    1.06    0.94;
0067     40    2    66    23    0    0    1    0.97    7.35    138    1    1.06    0.94;
0068     41    1    37    10    0    0    1    0.967    6.92    138    1    1.06    0.94;
0069     42    2    96    23    0    0    1    0.985    8.53    138    1    1.06    0.94;
0070     43    1    18    7    0    0    1    0.978    11.28    138    1    1.06    0.94;
0071     44    1    16    8    0    10    1    0.985    13.82    138    1    1.06    0.94;
0072     45    1    53    22    0    10    1    0.987    15.67    138    1    1.06    0.94;
0073     46    2    28    10    0    10    1    1.005    18.49    138    1    1.06    0.94;
0074     47    1    34    0    0    0    1    1.017    20.73    138    1    1.06    0.94;
0075     48    1    20    11    0    15    1    1.021    19.93    138    1    1.06    0.94;
0076     49    2    87    30    0    0    1    1.025    20.94    138    1    1.06    0.94;
0077     50    1    17    4    0    0    1    1.001    18.9    138    1    1.06    0.94;
0078     51    1    17    8    0    0    1    0.967    16.28    138    1    1.06    0.94;
0079     52    1    18    5    0    0    1    0.957    15.32    138    1    1.06    0.94;
0080     53    1    23    11    0    0    1    0.946    14.35    138    1    1.06    0.94;
0081     54    2    113    32    0    0    1    0.955    15.26    138    1    1.06    0.94;
0082     55    2    63    22    0    0    1    0.952    14.97    138    1    1.06    0.94;
0083     56    2    84    18    0    0    1    0.954    15.16    138    1    1.06    0.94;
0084     57    1    12    3    0    0    1    0.971    16.36    138    1    1.06    0.94;
0085     58    1    12    3    0    0    1    0.959    15.51    138    1    1.06    0.94;
0086     59    2    277    113    0    0    1    0.985    19.37    138    1    1.06    0.94;
0087     60    1    78    3    0    0    1    0.993    23.15    138    1    1.06    0.94;
0088     61    2    0    0    0    0    1    0.995    24.04    138    1    1.06    0.94;
0089     62    2    77    14    0    0    1    0.998    23.43    138    1    1.06    0.94;
0090     63    1    0    0    0    0    1    0.969    22.75    345    1    1.06    0.94;
0091     64    1    0    0    0    0    1    0.984    24.52    345    1    1.06    0.94;
0092     65    2    0    0    0    0    1    1.005    27.65    345    1    1.06    0.94;
0093     66    2    39    18    0    0    1    1.05    27.48    138    1    1.06    0.94;
0094     67    1    28    7    0    0    1    1.02    24.84    138    1    1.06    0.94;
0095     68    1    0    0    0    0    1    1.003    27.55    345    1    1.06    0.94;
0096     69    3    0    0    0    0    1    1.035    30    138    1    1.06    0.94;
0097     70    2    66    20    0    0    1    0.984    22.58    138    1    1.06    0.94;
0098     71    1    0    0    0    0    1    0.987    22.15    138    1    1.06    0.94;
0099     72    2    12    0    0    0    1    0.98    20.98    138    1    1.06    0.94;
0100     73    2    6    0    0    0    1    0.991    21.94    138    1    1.06    0.94;
0101     74    2    68    27    0    12    1    0.958    21.64    138    1    1.06    0.94;
0102     75    1    47    11    0    0    1    0.967    22.91    138    1    1.06    0.94;
0103     76    2    68    36    0    0    1    0.943    21.77    138    1    1.06    0.94;
0104     77    2    61    28    0    0    1    1.006    26.72    138    1    1.06    0.94;
0105     78    1    71    26    0    0    1    1.003    26.42    138    1    1.06    0.94;
0106     79    1    39    32    0    20    1    1.009    26.72    138    1    1.06    0.94;
0107     80    2    130    26    0    0    1    1.04    28.96    138    1    1.06    0.94;
0108     81    1    0    0    0    0    1    0.997    28.1    345    1    1.06    0.94;
0109     82    1    54    27    0    20    1    0.989    27.24    138    1    1.06    0.94;
0110     83    1    20    10    0    10    1    0.985    28.42    138    1    1.06    0.94;
0111     84    1    11    7    0    0    1    0.98    30.95    138    1    1.06    0.94;
0112     85    2    24    15    0    0    1    0.985    32.51    138    1    1.06    0.94;
